empty,English,Turkish,Position
empty,plentiful,bereket,
empty,women who struggle a lot,mücadele içindeki kadınlar,
empty,insecurity,tekinsizlik,2
empty,solidarity,dayanışma,4
empty,sisterhood,kız kardeşlik,5
empty,hope,umut,6
empty,our labour,bizim emeğimiz,9
empty,happiness,mutluluk,11
empty,the women in me,içimdeki kadın,12
empty,maybe it’s just okay,belki de sorun değildir,14
empty,understanding,anlayış,15
empty,safety,güvenlik,16
empty,celebration,kutlama,17
empty,shared stories,paylaşılan hikayeler,18
empty,feel,hissetmek,1
empty,womanhood,kadınlık,
empty,responsibility,sorumluluk,20
empty,togetherness,birliktelik,25
empty,healing,iyileşme,26
empty,kindness,kibarlık,28
empty,aware of our power,gücünün farkında ol,3
empty,collective,beraber,7
empty,shared struggles,paylaşılan mücadeleler,8
empty,embrace with love,sevginle sar,10
empty,sitting and making,oturup yapmak,13
empty,making insecurity visible,güvensizliği görünür kılmak,19
empty,reminders,anımsatıcılar,21
empty,multidimensional resistance,çok boyutlu direniş,22
empty,solidarity against precarity,güvencesizliğe karşı dayanışma,23
empty,acting together,birlikte hareket etmek,24
empty,solidarity against violence,şiddete karşı dayanışma,27
empty,online and offline networks,çevrimiçi ve çevrimdışı ağlar,29
empty,love ,sevgi,30
